,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,14,-38,39,130,141,0,180
1,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,14,-38,37,130,141,0,180
2,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,14,-38,39,130,141,0,180
3,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,14,-32,37,130,141,0,180
4,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-71,14,-32,38,130,141,0,180
5,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,14,-32,39,130,141,0,180
6,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-71,14,-38,38,130,141,0,180
7,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,14,-38,37,130,141,0,180
8,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-71,14,-38,38,130,141,0,180
9,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-66,14,-38,39,130,141,0,180
10,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,14,-38,37,130,141,0,180
11,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-85,16,-22,38,130,141,0,180
12,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,16,-22,39,130,141,0,180
13,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,16,-22,37,130,141,0,180
14,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-91,16,-22,38,130,141,0,180
15,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,16,-22,39,130,141,0,180
16,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-68,16,-22,37,130,141,0,180
17,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-89,16,-22,38,130,141,0,180
18,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,16,-22,39,130,141,0,180
19,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-68,18,-22,37,130,141,0,180
20,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-62,18,-22,39,130,141,0,180
21,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,18,-22,37,130,141,0,180
22,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,18,-22,37,130,141,0,180
23,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-62,18,-22,39,130,141,0,180
24,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,20,-22,37,130,141,0,180
25,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,20,-22,37,130,141,0,180
26,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,26,-20,39,130,141,0,180
27,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,26,-20,39,130,141,0,180
28,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-70,26,-22,37,130,141,0,180
29,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,26,-22,38,130,141,0,180
30,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,26,-22,39,130,141,0,180
31,2022/12/09/ 20:36:48,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,26,-22,37,130,141,0,180
32,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-85,26,-22,38,130,141,0,180
33,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,26,-22,39,130,141,0,180
34,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,26,-22,37,130,141,0,180
35,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,26,-20,39,130,141,0,180
36,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,26,-20,37,130,141,0,180
37,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-88,26,-20,38,130,141,0,180
38,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,24,-20,39,130,141,0,180
39,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,24,-20,37,130,141,0,180
40,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,20,-20,37,130,141,0,180
41,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-91,20,-20,38,130,141,0,180
42,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,16,-20,37,130,141,0,180
43,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-89,14,-20,38,130,141,0,180
44,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,12,-20,39,130,141,0,180
45,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-20,37,130,141,0,180
46,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-88,12,-20,38,130,141,0,180
47,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,12,-20,39,130,141,0,180
48,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-22,37,130,141,0,180
49,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-86,12,-22,38,130,141,0,180
50,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,12,-24,39,130,141,0,180
51,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-24,37,130,141,0,180
52,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,10,-24,38,130,141,0,180
53,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,10,-26,39,130,141,0,180
54,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
55,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-86,10,-26,38,130,141,0,180
56,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,10,-26,39,130,141,0,180
57,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
58,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-86,10,-26,38,130,141,0,180
59,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
60,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
61,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-88,10,-26,38,130,141,0,180
62,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-84,10,-26,38,130,141,0,180
63,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
64,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
65,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
66,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
67,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,10,-26,38,130,141,0,180
68,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
69,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-26,37,130,141,0,180
70,2022/12/09/ 20:36:49,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-84,12,-26,38,130,141,0,180
71,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-63,10,-26,39,130,141,0,180
72,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
73,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
74,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
75,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,10,-26,38,130,141,0,180
76,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,10,-26,39,130,141,0,180
77,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,10,-26,38,130,141,0,180
78,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,10,-26,37,130,141,0,180
79,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-86,10,-26,38,130,141,0,180
80,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,12,-28,39,130,141,0,180
81,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-28,37,130,141,0,180
82,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-88,12,-28,38,130,141,0,180
83,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,12,-28,39,130,141,0,180
84,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-28,37,130,141,0,180
85,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-87,12,-28,38,130,141,0,180
86,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,12,-28,39,130,141,0,180
87,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-69,12,-28,37,130,141,0,180
88,2022/12/09/ 20:36:50,:CCF957966AC9,PID=0403:6015 SER=D200C017A,-64,12,-28,39,130,141,0,180
