Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 00:40:10,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:10,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:11,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:12,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:13,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:13,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:14,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:15,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:15,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:16,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:16,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:17,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:18,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:18,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:18,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:19,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:19,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:20,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:20,+UUDF:CCF957966B2C,:CCF957966B2C,-57,0,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:21,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:22,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:22,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:23,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:23,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:23,+UUDF:CCF957966B2C,:CCF957966B2C,-53,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:24,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:24,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:25,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:26,+UUDF:CCF957966B2C,:CCF957966B2C,-64,0,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:26,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:27,+UUDF:CCF957966B2C,:CCF957966B2C,-64,0,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:27,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:28,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:28,+UUDF:CCF957966B2C,:CCF957966B2C,-64,0,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:28,+UUDF:CCF957966B2C,:CCF957966B2C,-57,0,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:29,+UUDF:CCF957966B2C,:CCF957966B2C,-51,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:29,+UUDF:CCF957966B2C,:CCF957966B2C,-64,0,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:30,+UUDF:CCF957966B2C,:CCF957966B2C,-57,0,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:30,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:31,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:31,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:32,+UUDF:CCF957966B2C,:CCF957966B2C,-53,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:32,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:32,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:33,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:33,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:34,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:35,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:35,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:36,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:36,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:36,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:37,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,0,0,37,1,134,110,130,0
2022/09/20/ 00:40:37,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,0,0,38,1,134,110,130,0
2022/09/20/ 00:40:38,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-1,0,0,39,1,134,110,130,0
2022/09/20/ 00:40:39,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:39,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:40,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:40,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:41,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:41,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:41,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:42,+UUDF:CCF957966B2C,:CCF957966B2C,-52,0,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:43,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:44,+UUDF:CCF957966B2C,:CCF957966B2C,-49,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:44,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:45,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:46,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-1,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:47,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:48,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:48,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:40:49,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:49,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:40:49,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:40:50,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:50,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:40:51,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:40:51,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:52,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:40:53,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,3,0,39,1,134,110,130,0
2022/09/20/ 00:40:53,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:53,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,3,0,39,1,134,110,130,0
2022/09/20/ 00:40:54,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:54,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,38,1,134,110,130,0
2022/09/20/ 00:40:55,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-1,2,0,39,1,134,110,130,0
2022/09/20/ 00:40:55,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-1,2,0,37,1,134,110,130,0
2022/09/20/ 00:40:56,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:57,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:57,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,1,0,39,1,134,110,130,0
2022/09/20/ 00:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,1,0,37,1,134,110,130,0
2022/09/20/ 00:40:59,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,1,0,38,1,134,110,130,0
2022/09/20/ 00:40:59,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:00,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:01,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:01,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,2,0,37,1,134,110,130,0
2022/09/20/ 00:41:02,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-2,2,0,39,1,134,110,130,0
2022/09/20/ 00:41:02,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-2,2,0,37,1,134,110,130,0
