Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/20/ 18:22:52,+UUDF:CCF957966B2C,:CCF957966B2C,-82,-12,39,0,37,1,134,200,130,0
2022/09/20/ 18:22:53,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-12,38,0,38,1,134,200,130,0
2022/09/20/ 18:22:53,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-12,39,0,39,1,134,200,130,0
2022/09/20/ 18:22:53,+UUDF:CCF957966B2C,:CCF957966B2C,-82,-12,38,0,37,1,134,200,130,0
2022/09/20/ 18:22:54,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-12,38,0,39,1,134,200,130,0
2022/09/20/ 18:22:54,+UUDF:CCF957966B2C,:CCF957966B2C,-82,-11,38,0,37,1,134,200,130,0
2022/09/20/ 18:22:55,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-11,39,0,38,1,134,200,130,0
2022/09/20/ 18:22:55,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-10,39,0,39,1,134,200,130,0
2022/09/20/ 18:22:56,+UUDF:CCF957966B2C,:CCF957966B2C,-82,-11,38,0,37,1,134,200,130,0
2022/09/20/ 18:22:56,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-11,39,0,38,1,134,200,130,0
2022/09/20/ 18:22:56,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-11,39,0,39,1,134,200,130,0
2022/09/20/ 18:22:57,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:22:57,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:22:58,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:22:58,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:22:59,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:22:59,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,8,0,38,1,134,200,130,0
2022/09/20/ 18:23:00,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-6,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:00,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-5,8,0,37,1,134,200,130,0
2022/09/20/ 18:23:01,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-5,8,0,38,1,134,200,130,0
2022/09/20/ 18:23:01,+UUDF:CCF957966B2C,:CCF957966B2C,-50,-6,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:02,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:23:02,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-5,8,0,38,1,134,200,130,0
2022/09/20/ 18:23:03,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,8,0,37,1,134,200,130,0
2022/09/20/ 18:23:03,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-5,8,0,38,1,134,200,130,0
2022/09/20/ 18:23:03,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-5,8,0,37,1,134,200,130,0
2022/09/20/ 18:23:04,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:04,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,8,0,37,1,134,200,130,0
2022/09/20/ 18:23:05,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-6,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:05,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:06,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:23:06,+UUDF:CCF957966B2C,:CCF957966B2C,-54,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:07,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:23:07,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-6,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:08,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:08,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:23:09,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:09,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,7,0,37,1,134,200,130,0
2022/09/20/ 18:23:10,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:10,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:11,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:11,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:12,+UUDF:CCF957966B2C,:CCF957966B2C,-51,-5,7,0,39,1,134,200,130,0
2022/09/20/ 18:23:12,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-5,7,0,38,1,134,200,130,0
2022/09/20/ 18:23:13,+UUDF:CCF957966B2C,:CCF957966B2C,-52,-5,7,0,39,1,134,200,130,0
