Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 02:07:35,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-5,46,0,38,1,134,140,130,0
2022/09/20/ 02:07:35,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-4,47,0,39,1,134,140,130,0
2022/09/20/ 02:07:36,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-5,46,0,37,1,134,140,130,0
2022/09/20/ 02:07:36,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-5,46,0,39,1,134,140,130,0
2022/09/20/ 02:07:36,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-5,46,0,37,1,134,140,130,0
2022/09/20/ 02:07:37,+UUDF:CCF957966B2C,:CCF957966B2C,-64,-5,46,0,39,1,134,140,130,0
2022/09/20/ 02:07:37,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-5,46,0,37,1,134,140,130,0
2022/09/20/ 02:07:38,+UUDF:CCF957966B2C,:CCF957966B2C,-65,-5,46,0,39,1,134,140,130,0
2022/09/20/ 02:07:38,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-5,45,0,37,1,134,140,130,0
2022/09/20/ 02:07:39,+UUDF:CCF957966B2C,:CCF957966B2C,-71,-5,45,0,38,1,134,140,130,0
2022/09/20/ 02:07:39,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-2,0,39,1,134,140,130,0
2022/09/20/ 02:07:40,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-9,-2,0,37,1,134,140,130,0
2022/09/20/ 02:07:40,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-8,-2,0,38,1,134,140,130,0
2022/09/20/ 02:07:41,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-8,-2,0,39,1,134,140,130,0
