Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 01:40:57,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-2,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:57,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,44,0,38,0,134,80,130,1
2022/09/19/ 01:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-2,43,0,39,0,134,80,130,1
2022/09/19/ 01:40:58,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-2,43,0,37,0,134,80,130,1
2022/09/19/ 01:40:59,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-1,44,0,38,0,134,80,130,1
2022/09/19/ 01:40:59,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:00,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:00,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,44,0,38,0,134,80,130,1
2022/09/19/ 01:41:01,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:01,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:02,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,38,0,134,80,130,1
2022/09/19/ 01:41:02,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:03,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:03,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,38,0,134,80,130,1
2022/09/19/ 01:41:04,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:04,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:04,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,38,0,134,80,130,1
2022/09/19/ 01:41:05,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:05,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:06,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,38,0,134,80,130,1
2022/09/19/ 01:41:06,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-1,43,0,39,0,134,80,130,1
2022/09/19/ 01:41:07,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,43,0,37,0,134,80,130,1
2022/09/19/ 01:41:07,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,41,0,38,0,134,80,130,1
2022/09/19/ 01:41:08,+UUDF:CCF957966B2C,:CCF957966B2C,-62,-1,41,0,39,0,134,80,130,1
2022/09/19/ 01:41:08,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-1,41,0,37,0,134,80,130,1
2022/09/19/ 01:41:09,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,41,0,38,0,134,80,130,1
2022/09/19/ 01:41:09,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-2,41,0,39,0,134,80,130,1
2022/09/19/ 01:41:10,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,42,0,38,0,134,80,130,1
2022/09/19/ 01:41:10,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,42,0,39,0,134,80,130,1
2022/09/19/ 01:41:11,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,42,0,37,0,134,80,130,1
2022/09/19/ 01:41:11,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,42,0,39,0,134,80,130,1
2022/09/19/ 01:41:11,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,42,0,37,0,134,80,130,1
2022/09/19/ 01:41:12,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,42,0,38,0,134,80,130,1
2022/09/19/ 01:41:12,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-2,41,0,39,0,134,80,130,1
2022/09/19/ 01:41:13,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-2,42,0,37,0,134,80,130,1
2022/09/19/ 01:41:14,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-4,40,0,39,0,134,80,130,1
2022/09/19/ 01:41:14,+UUDF:CCF957966B2C,:CCF957966B2C,-69,-4,41,0,37,0,134,80,130,1
2022/09/19/ 01:41:15,+UUDF:CCF957966B2C,:CCF957966B2C,-70,-4,41,0,38,0,134,80,130,1
