Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visión libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medición
2022/09/22/ 19:11:58,+UUDF:CCF957966B2C,:CCF957966B2C,-52,2,-9,0,39,0,134,120,100,1
2022/09/22/ 19:11:59,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-9,0,38,0,134,120,100,1
2022/09/22/ 19:11:59,+UUDF:CCF957966B2C,:CCF957966B2C,-51,2,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:00,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:00,+UUDF:CCF957966B2C,:CCF957966B2C,-52,2,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:01,+UUDF:CCF957966B2C,:CCF957966B2C,-52,2,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:01,+UUDF:CCF957966B2C,:CCF957966B2C,-61,2,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:02,+UUDF:CCF957966B2C,:CCF957966B2C,-61,1,-10,0,38,0,134,120,100,1
2022/09/22/ 19:12:02,+UUDF:CCF957966B2C,:CCF957966B2C,-55,2,-10,0,39,0,134,120,100,1
2022/09/22/ 19:12:03,+UUDF:CCF957966B2C,:CCF957966B2C,-62,1,-10,0,38,0,134,120,100,1
2022/09/22/ 19:12:03,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:04,+UUDF:CCF957966B2C,:CCF957966B2C,-70,21,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:04,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:05,+UUDF:CCF957966B2C,:CCF957966B2C,-75,21,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:05,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-12,0,39,0,134,120,100,1
2022/09/22/ 19:12:06,+UUDF:CCF957966B2C,:CCF957966B2C,-75,21,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:06,+UUDF:CCF957966B2C,:CCF957966B2C,-70,21,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:06,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-12,0,39,0,134,120,100,1
2022/09/22/ 19:12:07,+UUDF:CCF957966B2C,:CCF957966B2C,-76,21,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:07,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-12,0,39,0,134,120,100,1
2022/09/22/ 19:12:08,+UUDF:CCF957966B2C,:CCF957966B2C,-70,21,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:08,+UUDF:CCF957966B2C,:CCF957966B2C,-59,21,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:09,+UUDF:CCF957966B2C,:CCF957966B2C,-75,21,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:09,+UUDF:CCF957966B2C,:CCF957966B2C,-71,21,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:10,+UUDF:CCF957966B2C,:CCF957966B2C,-75,20,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:10,+UUDF:CCF957966B2C,:CCF957966B2C,-59,20,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:10,+UUDF:CCF957966B2C,:CCF957966B2C,-76,20,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:11,+UUDF:CCF957966B2C,:CCF957966B2C,-59,20,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:11,+UUDF:CCF957966B2C,:CCF957966B2C,-70,20,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:12,+UUDF:CCF957966B2C,:CCF957966B2C,-59,20,-11,0,39,0,134,120,100,1
2022/09/22/ 19:12:12,+UUDF:CCF957966B2C,:CCF957966B2C,-76,20,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:13,+UUDF:CCF957966B2C,:CCF957966B2C,-70,20,-11,0,38,0,134,120,100,1
2022/09/22/ 19:12:13,+UUDF:CCF957966B2C,:CCF957966B2C,-76,20,-11,0,37,0,134,120,100,1
2022/09/22/ 19:12:14,+UUDF:CCF957966B2C,:CCF957966B2C,-69,20,-10,0,38,0,134,120,100,1
2022/09/22/ 19:12:14,+UUDF:CCF957966B2C,:CCF957966B2C,-59,20,-10,0,39,0,134,120,100,1
2022/09/22/ 19:12:14,+UUDF:CCF957966B2C,:CCF957966B2C,-77,20,-10,0,37,0,134,120,100,1
2022/09/22/ 19:12:15,+UUDF:CCF957966B2C,:CCF957966B2C,-59,20,-10,0,39,0,134,120,100,1
2022/09/22/ 19:12:15,+UUDF:CCF957966B2C,:CCF957966B2C,-77,20,-10,0,37,0,134,120,100,1
2022/09/22/ 19:12:16,+UUDF:CCF957966B2C,:CCF957966B2C,-67,20,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:16,+UUDF:CCF957966B2C,:CCF957966B2C,-58,21,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:17,+UUDF:CCF957966B2C,:CCF957966B2C,-67,21,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:17,+UUDF:CCF957966B2C,:CCF957966B2C,-79,21,-9,0,37,0,134,120,100,1
2022/09/22/ 19:12:18,+UUDF:CCF957966B2C,:CCF957966B2C,-66,21,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:18,+UUDF:CCF957966B2C,:CCF957966B2C,-57,21,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:19,+UUDF:CCF957966B2C,:CCF957966B2C,-79,21,-6,0,37,0,134,120,100,1
2022/09/22/ 19:12:19,+UUDF:CCF957966B2C,:CCF957966B2C,-57,21,-9,0,39,0,134,120,100,1
2022/09/22/ 19:12:19,+UUDF:CCF957966B2C,:CCF957966B2C,-80,21,-6,0,37,0,134,120,100,1
2022/09/22/ 19:12:20,+UUDF:CCF957966B2C,:CCF957966B2C,-58,21,-6,0,39,0,134,120,100,1
2022/09/22/ 19:12:20,+UUDF:CCF957966B2C,:CCF957966B2C,-83,21,-4,0,37,0,134,120,100,1
2022/09/22/ 19:12:21,+UUDF:CCF957966B2C,:CCF957966B2C,-58,22,-6,0,39,0,134,120,100,1
2022/09/22/ 19:12:21,+UUDF:CCF957966B2C,:CCF957966B2C,-90,21,-4,0,37,0,134,120,100,1
2022/09/22/ 19:12:22,+UUDF:CCF957966B2C,:CCF957966B2C,-68,22,-4,0,38,0,134,120,100,1
2022/09/22/ 19:12:22,+UUDF:CCF957966B2C,:CCF957966B2C,-60,23,-4,0,39,0,134,120,100,1
2022/09/22/ 19:12:23,+UUDF:CCF957966B2C,:CCF957966B2C,-83,23,-4,0,37,0,134,120,100,1
2022/09/22/ 19:12:23,+UUDF:CCF957966B2C,:CCF957966B2C,-59,23,-4,0,39,0,134,120,100,1
2022/09/22/ 19:12:23,+UUDF:CCF957966B2C,:CCF957966B2C,-83,23,-4,0,37,0,134,120,100,1
2022/09/22/ 19:12:24,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-2,0,38,0,134,120,100,1
2022/09/22/ 19:12:24,+UUDF:CCF957966B2C,:CCF957966B2C,-61,24,-4,0,39,0,134,120,100,1
2022/09/22/ 19:12:25,+UUDF:CCF957966B2C,:CCF957966B2C,-68,23,-2,0,38,0,134,120,100,1
2022/09/22/ 19:12:25,+UUDF:CCF957966B2C,:CCF957966B2C,-61,23,-4,0,39,0,134,120,100,1
2022/09/22/ 19:12:26,+UUDF:CCF957966B2C,:CCF957966B2C,-67,22,-2,0,38,0,134,120,100,1
2022/09/22/ 19:12:26,+UUDF:CCF957966B2C,:CCF957966B2C,-60,23,-2,0,39,0,134,120,100,1
2022/09/22/ 19:12:27,+UUDF:CCF957966B2C,:CCF957966B2C,-66,24,-2,0,38,0,134,120,100,1
2022/09/22/ 19:12:27,+UUDF:CCF957966B2C,:CCF957966B2C,-60,24,-2,0,39,0,134,120,100,1
2022/09/22/ 19:12:28,+UUDF:CCF957966B2C,:CCF957966B2C,-77,24,-2,0,37,0,134,120,100,1
2022/09/22/ 19:12:28,+UUDF:CCF957966B2C,:CCF957966B2C,-67,22,1,0,38,0,134,120,100,1
2022/09/22/ 19:12:28,+UUDF:CCF957966B2C,:CCF957966B2C,-76,22,2,0,37,0,134,120,100,1
2022/09/22/ 19:12:29,+UUDF:CCF957966B2C,:CCF957966B2C,-61,21,2,0,39,0,134,120,100,1
2022/09/22/ 19:12:29,+UUDF:CCF957966B2C,:CCF957966B2C,-76,21,2,0,37,0,134,120,100,1
2022/09/22/ 19:12:30,+UUDF:CCF957966B2C,:CCF957966B2C,-66,21,2,0,38,0,134,120,100,1
2022/09/22/ 19:12:30,+UUDF:CCF957966B2C,:CCF957966B2C,-67,21,2,0,38,0,134,120,100,1
2022/09/22/ 19:12:31,+UUDF:CCF957966B2C,:CCF957966B2C,-61,21,1,0,39,0,134,120,100,1
2022/09/22/ 19:12:31,+UUDF:CCF957966B2C,:CCF957966B2C,-75,20,2,0,37,0,134,120,100,1
2022/09/22/ 19:12:32,+UUDF:CCF957966B2C,:CCF957966B2C,-61,20,1,0,39,0,134,120,100,1
2022/09/22/ 19:12:32,+UUDF:CCF957966B2C,:CCF957966B2C,-62,14,0,0,39,0,134,120,100,1
2022/09/22/ 19:12:33,+UUDF:CCF957966B2C,:CCF957966B2C,-75,12,0,0,37,0,134,120,100,1
2022/09/22/ 19:12:33,+UUDF:CCF957966B2C,:CCF957966B2C,-70,7,0,0,38,0,134,120,100,1
2022/09/22/ 19:12:34,+UUDF:CCF957966B2C,:CCF957966B2C,-62,6,0,0,39,0,134,120,100,1
2022/09/22/ 19:12:34,+UUDF:CCF957966B2C,:CCF957966B2C,-62,6,0,0,39,0,134,120,100,1
2022/09/22/ 19:12:35,+UUDF:CCF957966B2C,:CCF957966B2C,-75,6,-31,0,37,0,134,120,100,1
2022/09/22/ 19:12:35,+UUDF:CCF957966B2C,:CCF957966B2C,-70,5,-2,0,38,0,134,120,100,1
2022/09/22/ 19:12:36,+UUDF:CCF957966B2C,:CCF957966B2C,-62,5,-31,0,39,0,134,120,100,1
2022/09/22/ 19:12:36,+UUDF:CCF957966B2C,:CCF957966B2C,-70,5,-31,0,38,0,134,120,100,1
2022/09/22/ 19:12:37,+UUDF:CCF957966B2C,:CCF957966B2C,-74,10,-1,0,37,0,134,120,100,1
2022/09/22/ 19:12:37,+UUDF:CCF957966B2C,:CCF957966B2C,-63,10,-1,0,39,0,134,120,100,1
2022/09/22/ 19:12:38,+UUDF:CCF957966B2C,:CCF957966B2C,-74,10,0,0,37,0,134,120,100,1
2022/09/22/ 19:12:38,+UUDF:CCF957966B2C,:CCF957966B2C,-60,10,-1,0,39,0,134,120,100,1
2022/09/22/ 19:12:39,+UUDF:CCF957966B2C,:CCF957966B2C,-73,10,-1,0,37,0,134,120,100,1
2022/09/22/ 19:12:39,+UUDF:CCF957966B2C,:CCF957966B2C,-70,10,-1,0,38,0,134,120,100,1
2022/09/22/ 19:12:40,+UUDF:CCF957966B2C,:CCF957966B2C,-60,10,-1,0,39,0,134,120,100,1
2022/09/22/ 19:12:40,+UUDF:CCF957966B2C,:CCF957966B2C,-70,10,-1,0,38,0,134,120,100,1
2022/09/22/ 19:12:41,+UUDF:CCF957966B2C,:CCF957966B2C,-74,10,0,0,37,0,134,120,100,1
2022/09/22/ 19:12:41,+UUDF:CCF957966B2C,:CCF957966B2C,-74,7,-34,0,37,0,134,120,100,1
2022/09/22/ 19:12:42,+UUDF:CCF957966B2C,:CCF957966B2C,-70,7,-34,0,38,0,134,120,100,1
2022/09/22/ 19:12:42,+UUDF:CCF957966B2C,:CCF957966B2C,-58,7,-34,0,39,0,134,120,100,1
2022/09/22/ 19:12:43,+UUDF:CCF957966B2C,:CCF957966B2C,-74,7,-34,0,37,0,134,120,100,1
2022/09/22/ 19:12:43,+UUDF:CCF957966B2C,:CCF957966B2C,-58,7,-34,0,39,0,134,120,100,1
2022/09/22/ 19:12:44,+UUDF:CCF957966B2C,:CCF957966B2C,-74,7,-34,0,37,0,134,120,100,1
2022/09/22/ 19:12:44,+UUDF:CCF957966B2C,:CCF957966B2C,-70,7,-34,0,38,0,134,120,100,1
2022/09/22/ 19:12:45,+UUDF:CCF957966B2C,:CCF957966B2C,-58,7,-34,0,39,0,134,120,100,1
2022/09/22/ 19:12:45,+UUDF:CCF957966B2C,:CCF957966B2C,-71,6,-6,0,38,0,134,120,100,1
2022/09/22/ 19:12:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,6,-7,0,39,0,134,120,100,1
2022/09/22/ 19:12:46,+UUDF:CCF957966B2C,:CCF957966B2C,-73,6,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:47,+UUDF:CCF957966B2C,:CCF957966B2C,-70,6,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:47,+UUDF:CCF957966B2C,:CCF957966B2C,-74,6,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:48,+UUDF:CCF957966B2C,:CCF957966B2C,-70,6,-6,0,38,0,134,120,100,1
2022/09/22/ 19:12:48,+UUDF:CCF957966B2C,:CCF957966B2C,-58,6,-6,0,39,0,134,120,100,1
2022/09/22/ 19:12:49,+UUDF:CCF957966B2C,:CCF957966B2C,-70,6,-6,0,38,0,134,120,100,1
2022/09/22/ 19:12:50,+UUDF:CCF957966B2C,:CCF957966B2C,-71,6,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:50,+UUDF:CCF957966B2C,:CCF957966B2C,-58,6,-7,0,39,0,134,120,100,1
2022/09/22/ 19:12:50,+UUDF:CCF957966B2C,:CCF957966B2C,-73,6,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:51,+UUDF:CCF957966B2C,:CCF957966B2C,-71,7,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:51,+UUDF:CCF957966B2C,:CCF957966B2C,-74,6,-6,0,37,0,134,120,100,1
2022/09/22/ 19:12:52,+UUDF:CCF957966B2C,:CCF957966B2C,-71,6,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:52,+UUDF:CCF957966B2C,:CCF957966B2C,-73,6,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:53,+UUDF:CCF957966B2C,:CCF957966B2C,-70,6,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:53,+UUDF:CCF957966B2C,:CCF957966B2C,-58,6,-7,0,39,0,134,120,100,1
2022/09/22/ 19:12:54,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,-6,0,38,0,134,120,100,1
2022/09/22/ 19:12:54,+UUDF:CCF957966B2C,:CCF957966B2C,-58,9,-6,0,39,0,134,120,100,1
2022/09/22/ 19:12:55,+UUDF:CCF957966B2C,:CCF957966B2C,-73,9,-6,0,37,0,134,120,100,1
2022/09/22/ 19:12:55,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:56,+UUDF:CCF957966B2C,:CCF957966B2C,-73,9,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:56,+UUDF:CCF957966B2C,:CCF957966B2C,-71,9,-7,0,38,0,134,120,100,1
2022/09/22/ 19:12:57,+UUDF:CCF957966B2C,:CCF957966B2C,-58,9,-7,0,39,0,134,120,100,1
2022/09/22/ 19:12:57,+UUDF:CCF957966B2C,:CCF957966B2C,-74,9,-7,0,37,0,134,120,100,1
2022/09/22/ 19:12:58,+UUDF:CCF957966B2C,:CCF957966B2C,-71,11,-9,0,38,0,134,120,100,1
2022/09/22/ 19:12:58,+UUDF:CCF957966B2C,:CCF957966B2C,-58,12,-10,0,39,0,134,120,100,1
2022/09/22/ 19:12:59,+UUDF:CCF957966B2C,:CCF957966B2C,-73,12,-10,0,37,0,134,120,100,1
2022/09/22/ 19:12:59,+UUDF:CCF957966B2C,:CCF957966B2C,-71,12,-10,0,38,0,134,120,100,1
