Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/28/ 00:28:20,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-34,59,0,37,0,134,105,100,1
2022/09/28/ 00:28:21,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-34,59,0,39,0,134,105,100,1
2022/09/28/ 00:28:21,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-34,59,0,39,0,134,105,100,1
2022/09/28/ 00:28:22,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-34,59,0,37,0,134,105,100,1
2022/09/28/ 00:28:22,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-34,59,0,38,0,134,105,100,1
2022/09/28/ 00:28:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-34,59,0,37,0,134,105,100,1
2022/09/28/ 00:28:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-34,59,0,39,0,134,105,100,1
2022/09/28/ 00:28:23,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-34,59,0,38,0,134,105,100,1
2022/09/28/ 00:28:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-34,59,0,39,0,134,105,100,1
2022/09/28/ 00:28:24,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-34,58,0,37,0,134,105,100,1
2022/09/28/ 00:28:25,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-33,58,0,39,0,134,105,100,1
2022/09/28/ 00:28:25,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-36,62,0,37,0,134,105,100,1
2022/09/28/ 00:28:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,62,0,38,0,134,105,100,1
2022/09/28/ 00:28:26,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,62,0,38,0,134,105,100,1
2022/09/28/ 00:28:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-36,62,0,39,0,134,105,100,1
2022/09/28/ 00:28:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,62,0,37,0,134,105,100,1
2022/09/28/ 00:28:27,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,62,0,38,0,134,105,100,1
2022/09/28/ 00:28:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-36,62,0,37,0,134,105,100,1
2022/09/28/ 00:28:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,62,0,38,0,134,105,100,1
2022/09/28/ 00:28:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-36,62,0,37,0,134,105,100,1
2022/09/28/ 00:28:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-36,61,0,38,0,134,105,100,1
2022/09/28/ 00:28:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-36,61,0,39,0,134,105,100,1
2022/09/28/ 00:28:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-36,61,0,39,0,134,105,100,1
2022/09/28/ 00:28:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-36,61,0,37,0,134,105,100,1
2022/09/28/ 00:28:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-36,61,0,39,0,134,105,100,1
2022/09/28/ 00:28:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-37,61,0,37,0,134,105,100,1
2022/09/28/ 00:28:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-37,61,0,37,0,134,105,100,1
2022/09/28/ 00:28:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-60,-37,61,0,38,0,134,105,100,1
