Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 19:52:28,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-56,-35,-34,0,39,0,134,80,100,1
2022/09/27/ 19:52:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-56,-35,-34,0,39,0,134,80,100,1
2022/09/27/ 19:52:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-35,-34,0,37,0,134,80,100,1
2022/09/27/ 19:52:29,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-57,-35,-34,0,38,0,134,80,100,1
2022/09/27/ 19:52:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-35,-34,0,37,0,134,80,100,1
2022/09/27/ 19:52:30,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-56,-35,-34,0,39,0,134,80,100,1
2022/09/27/ 19:52:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-35,-34,0,37,0,134,80,100,1
2022/09/27/ 19:52:31,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-57,-35,-34,0,38,0,134,80,100,1
2022/09/27/ 19:52:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-56,-35,-34,0,39,0,134,80,100,1
2022/09/27/ 19:52:32,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-61,-35,-34,0,37,0,134,80,100,1
2022/09/27/ 19:52:33,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-56,-35,-34,0,39,0,134,80,100,1
2022/09/27/ 19:52:33,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-66,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:34,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:34,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-66,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:34,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-67,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:35,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-34,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:35,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-67,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:36,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:36,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-67,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:37,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:37,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-34,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:38,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-67,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:38,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:39,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-34,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:39,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-66,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-34,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-34,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:40,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-34,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:41,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-34,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:41,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-66,-33,-41,0,39,0,134,80,100,1
2022/09/27/ 19:52:42,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-33,-41,0,38,0,134,80,100,1
2022/09/27/ 19:52:42,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-41,0,39,0,134,80,100,1
2022/09/27/ 19:52:43,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-33,-41,0,37,0,134,80,100,1
2022/09/27/ 19:52:43,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:44,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-33,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:44,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:45,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-33,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-33,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-67,-33,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:47,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-33,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:47,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-43,0,38,0,134,80,100,1
2022/09/27/ 19:52:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-42,0,38,0,134,80,100,1
2022/09/27/ 19:52:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-42,0,39,0,134,80,100,1
2022/09/27/ 19:52:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-64,-31,-42,0,37,0,134,80,100,1
2022/09/27/ 19:52:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-49,0,38,0,134,80,100,1
2022/09/27/ 19:52:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-31,-49,0,38,0,134,80,100,1
2022/09/27/ 19:52:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-30,-49,0,39,0,134,80,100,1
2022/09/27/ 19:52:51,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,-30,-49,0,37,0,134,80,100,1
2022/09/27/ 19:52:51,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-68,-30,-50,0,38,0,134,80,100,1
