Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:08:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,0,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:46,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,0,-23,0,38,0,134,88,100,1
2022/09/27/ 21:08:47,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-1,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-1,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:48,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-1,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-1,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:49,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,0,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,0,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:50,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,0,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:51,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-65,0,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:52,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:52,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-1,-23,0,38,0,134,88,100,1
2022/09/27/ 21:08:53,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-1,-23,0,39,0,134,88,100,1
2022/09/27/ 21:08:53,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-1,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-70,-2,-22,0,38,0,134,88,100,1
2022/09/27/ 21:08:54,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:55,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-22,0,37,0,134,88,100,1
2022/09/27/ 21:08:55,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-62,-2,-22,0,39,0,134,88,100,1
2022/09/27/ 21:08:56,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:08:57,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:08:57,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:58,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:08:58,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-23,0,39,0,134,88,100,1
2022/09/27/ 21:08:59,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-23,0,37,0,134,88,100,1
2022/09/27/ 21:08:59,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-3,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:00,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-3,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:00,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-3,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:01,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:01,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-71,-2,-23,0,37,0,134,88,100,1
2022/09/27/ 21:09:02,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-24,0,38,0,134,88,100,1
2022/09/27/ 21:09:02,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
2022/09/27/ 21:09:03,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-69,-2,-23,0,38,0,134,88,100,1
2022/09/27/ 21:09:03,PID=0403:6015 SER=D200BZVHA,CCF957966B2C,-63,-2,-23,0,39,0,134,88,100,1
