Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/22/ 14:00:53,+UUDF:CCF957966B2C,:CCF957966B2C,-66,67,0,0,38,0,134,160,100,1
2022/09/22/ 14:00:54,+UUDF:CCF957966B2C,:CCF957966B2C,-66,64,0,0,39,0,134,160,100,1
2022/09/22/ 14:00:54,+UUDF:CCF957966B2C,:CCF957966B2C,-69,67,1,0,38,0,134,160,100,1
2022/09/22/ 14:00:55,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-6,-1,0,39,0,134,160,100,1
2022/09/22/ 14:00:55,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-1,0,0,37,0,134,160,100,1
2022/09/22/ 14:00:56,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-5,-1,0,38,0,134,160,100,1
2022/09/22/ 14:00:56,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-5,-1,0,39,0,134,160,100,1
2022/09/22/ 14:00:56,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-5,-1,0,37,0,134,160,100,1
2022/09/22/ 14:00:57,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-5,-1,0,38,0,134,160,100,1
2022/09/22/ 14:00:57,+UUDF:CCF957966B2C,:CCF957966B2C,-68,-5,-1,0,39,0,134,160,100,1
2022/09/22/ 14:00:58,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-5,-1,0,37,0,134,160,100,1
2022/09/22/ 14:00:58,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-6,-1,0,38,0,134,160,100,1
2022/09/22/ 14:00:59,+UUDF:CCF957966B2C,:CCF957966B2C,-66,60,1,0,38,0,134,160,100,1
2022/09/22/ 14:00:59,+UUDF:CCF957966B2C,:CCF957966B2C,-66,59,0,0,39,0,134,160,100,1
2022/09/22/ 14:01:00,+UUDF:CCF957966B2C,:CCF957966B2C,-67,60,1,0,37,0,134,160,100,1
2022/09/22/ 14:01:00,+UUDF:CCF957966B2C,:CCF957966B2C,-66,60,1,0,38,0,134,160,100,1
2022/09/22/ 14:01:01,+UUDF:CCF957966B2C,:CCF957966B2C,-66,59,0,0,39,0,134,160,100,1
2022/09/22/ 14:01:01,+UUDF:CCF957966B2C,:CCF957966B2C,-67,59,1,0,37,0,134,160,100,1
2022/09/22/ 14:01:02,+UUDF:CCF957966B2C,:CCF957966B2C,-65,59,0,0,38,0,134,160,100,1
2022/09/22/ 14:01:02,+UUDF:CCF957966B2C,:CCF957966B2C,-67,59,0,0,39,0,134,160,100,1
2022/09/22/ 14:01:03,+UUDF:CCF957966B2C,:CCF957966B2C,-67,59,0,0,37,0,134,160,100,1
2022/09/22/ 14:01:03,+UUDF:CCF957966B2C,:CCF957966B2C,-66,60,0,0,38,0,134,160,100,1
2022/09/22/ 14:01:03,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-10,0,37,0,134,160,100,1
2022/09/22/ 14:01:04,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-9,0,38,0,134,160,100,1
2022/09/22/ 14:01:04,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-9,0,39,0,134,160,100,1
2022/09/22/ 14:01:05,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-9,0,37,0,134,160,100,1
2022/09/22/ 14:01:05,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-7,0,38,0,134,160,100,1
2022/09/22/ 14:01:06,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-9,0,39,0,134,160,100,1
2022/09/22/ 14:01:06,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-7,0,37,0,134,160,100,1
2022/09/22/ 14:01:07,+UUDF:CCF957966B2C,:CCF957966B2C,-67,-10,-4,0,38,0,134,160,100,1
2022/09/22/ 14:01:07,+UUDF:CCF957966B2C,:CCF957966B2C,-66,-10,-4,0,37,0,134,160,100,1
2022/09/22/ 14:01:08,+UUDF:CCF957966B2C,:CCF957966B2C,-68,64,-4,0,37,0,134,160,100,1
2022/09/22/ 14:01:08,+UUDF:CCF957966B2C,:CCF957966B2C,-65,64,-4,0,38,0,134,160,100,1
2022/09/22/ 14:01:09,+UUDF:CCF957966B2C,:CCF957966B2C,-67,64,-4,0,39,0,134,160,100,1
2022/09/22/ 14:01:09,+UUDF:CCF957966B2C,:CCF957966B2C,-68,64,-4,0,37,0,134,160,100,1
2022/09/22/ 14:01:10,+UUDF:CCF957966B2C,:CCF957966B2C,-65,64,-4,0,38,0,134,160,100,1
2022/09/22/ 14:01:10,+UUDF:CCF957966B2C,:CCF957966B2C,-67,64,-4,0,39,0,134,160,100,1
2022/09/22/ 14:01:10,+UUDF:CCF957966B2C,:CCF957966B2C,-68,64,-3,0,37,0,134,160,100,1
2022/09/22/ 14:01:11,+UUDF:CCF957966B2C,:CCF957966B2C,-65,64,-4,0,38,0,134,160,100,1
2022/09/22/ 14:01:11,+UUDF:CCF957966B2C,:CCF957966B2C,-68,64,-4,0,39,0,134,160,100,1
2022/09/22/ 14:01:12,+UUDF:CCF957966B2C,:CCF957966B2C,-69,2,0,0,39,0,134,160,100,1
2022/09/22/ 14:01:13,+UUDF:CCF957966B2C,:CCF957966B2C,-68,2,0,0,37,0,134,160,100,1
2022/09/22/ 14:01:13,+UUDF:CCF957966B2C,:CCF957966B2C,-69,2,0,0,39,0,134,160,100,1
2022/09/22/ 14:01:14,+UUDF:CCF957966B2C,:CCF957966B2C,-68,2,0,0,37,0,134,160,100,1
2022/09/22/ 14:01:14,+UUDF:CCF957966B2C,:CCF957966B2C,-66,2,0,0,38,0,134,160,100,1
