Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 14:39:26,+UUDF:CCF957966B2C,:CCF957966B2C,-71,35,32,0,38,0,134,150,130,1
2022/09/20/ 14:39:27,+UUDF:CCF957966B2C,:CCF957966B2C,-73,35,32,0,37,0,134,150,130,1
2022/09/20/ 14:39:27,+UUDF:CCF957966B2C,:CCF957966B2C,-71,35,32,0,38,0,134,150,130,1
2022/09/20/ 14:39:28,+UUDF:CCF957966B2C,:CCF957966B2C,-58,35,32,0,39,0,134,150,130,1
2022/09/20/ 14:39:28,+UUDF:CCF957966B2C,:CCF957966B2C,-70,33,31,0,38,0,134,150,130,1
2022/09/20/ 14:39:29,+UUDF:CCF957966B2C,:CCF957966B2C,-72,33,31,0,37,0,134,150,130,1
2022/09/20/ 14:39:29,+UUDF:CCF957966B2C,:CCF957966B2C,-57,33,31,0,39,0,134,150,130,1
2022/09/20/ 14:39:30,+UUDF:CCF957966B2C,:CCF957966B2C,-72,33,32,0,37,0,134,150,130,1
2022/09/20/ 14:39:30,+UUDF:CCF957966B2C,:CCF957966B2C,-70,33,31,0,38,0,134,150,130,1
2022/09/20/ 14:39:31,+UUDF:CCF957966B2C,:CCF957966B2C,-57,33,32,0,39,0,134,150,130,1
2022/09/20/ 14:39:31,+UUDF:CCF957966B2C,:CCF957966B2C,-72,33,32,0,37,0,134,150,130,1
2022/09/20/ 14:39:32,+UUDF:CCF957966B2C,:CCF957966B2C,-72,33,32,0,37,0,134,150,130,1
2022/09/20/ 14:39:32,+UUDF:CCF957966B2C,:CCF957966B2C,-70,33,32,0,38,0,134,150,130,1
2022/09/20/ 14:39:32,+UUDF:CCF957966B2C,:CCF957966B2C,-72,35,32,0,38,0,134,150,130,1
2022/09/20/ 14:39:33,+UUDF:CCF957966B2C,:CCF957966B2C,-73,35,32,0,37,0,134,150,130,1
2022/09/20/ 14:39:33,+UUDF:CCF957966B2C,:CCF957966B2C,-72,34,32,0,38,0,134,150,130,1
2022/09/20/ 14:39:34,+UUDF:CCF957966B2C,:CCF957966B2C,-56,34,32,0,39,0,134,150,130,1
2022/09/20/ 14:39:34,+UUDF:CCF957966B2C,:CCF957966B2C,-72,34,32,0,38,0,134,150,130,1
