Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 20:02:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-35,-52,0,37,1,134,88,100,0
2022/09/27/ 20:02:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-68,-35,-52,0,38,1,134,88,100,0
2022/09/27/ 20:02:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-69,-35,-52,0,39,1,134,88,100,0
2022/09/27/ 20:02:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-68,-35,-52,0,38,1,134,88,100,0
2022/09/27/ 20:02:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-69,-35,-52,0,39,1,134,88,100,0
2022/09/27/ 20:02:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-35,-52,0,37,1,134,88,100,0
2022/09/27/ 20:02:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-68,-35,-52,0,38,1,134,88,100,0
2022/09/27/ 20:02:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-35,-53,0,37,1,134,88,100,0
2022/09/27/ 20:02:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-68,-35,-53,0,38,1,134,88,100,0
2022/09/27/ 20:02:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-69,-35,-53,0,39,1,134,88,100,0
2022/09/27/ 20:02:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-63,-35,-53,0,37,1,134,88,100,0
2022/09/27/ 20:02:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-52,-31,-30,0,39,1,134,88,100,0
2022/09/27/ 20:02:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-30,0,38,1,134,88,100,0
2022/09/27/ 20:02:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-52,-31,-30,0,39,1,134,88,100,0
2022/09/27/ 20:02:46,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-31,-30,0,37,1,134,88,100,0
