Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:11:01,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:02,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:03,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-9,-18,0,38,1,134,30,130,0
2022/09/17/ 16:11:03,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-8,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:03,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:04,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:04,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:05,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:05,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:06,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:07,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:07,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:08,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:08,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:09,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:09,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:10,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:12,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:12,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:12,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:13,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:13,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:14,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:15,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
2022/09/17/ 16:11:15,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-18,0,37,1,134,30,130,0
