Hora,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/17/ 16:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:39,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:40,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:41,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:42,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:43,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:44,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:44,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:45,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:45,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:46,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:47,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:47,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:48,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:48,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:49,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:49,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-9,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-8,-17,0,37,1,134,30,130,0
2022/09/17/ 16:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-8,-17,0,37,1,134,30,130,0
