Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:53:35,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-56,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:36,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:37,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-58,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:38,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,37,1,134,105,100,0
2022/09/27/ 21:53:39,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-32,-23,0,37,1,134,105,100,0
2022/09/27/ 21:53:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-23,0,38,1,134,105,100,0
2022/09/27/ 21:53:40,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-23,0,39,1,134,105,100,0
2022/09/27/ 21:53:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-23,0,38,1,134,105,100,0
2022/09/27/ 21:53:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-23,0,39,1,134,105,100,0
2022/09/27/ 21:53:41,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-23,0,37,1,134,105,100,0
2022/09/27/ 21:53:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-23,0,38,1,134,105,100,0
2022/09/27/ 21:53:42,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-23,0,37,1,134,105,100,0
2022/09/27/ 21:53:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-23,0,38,1,134,105,100,0
2022/09/27/ 21:53:43,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-23,0,38,1,134,105,100,0
2022/09/27/ 21:53:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
2022/09/27/ 21:53:44,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-32,-22,0,38,1,134,105,100,0
2022/09/27/ 21:53:45,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-32,-22,0,39,1,134,105,100,0
