Hora,Antena,Iden_tag,RSSI,Ang_azimuth,Ang_elevacion,RSSI_2,Canal,"LOS(si=1,no=0)",Altura_ant(cm),Distancia_entre_ant_tag(cm),Altura_tag(cm),Error_dato_medido
2022/09/27/ 21:52:01,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-23,0,39,1,134,105,100,0
2022/09/27/ 21:52:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-30,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:02,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-30,-22,0,39,1,134,105,100,0
2022/09/27/ 21:52:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-61,-30,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:03,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-22,0,38,1,134,105,100,0
2022/09/27/ 21:52:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-22,0,37,1,134,105,100,0
2022/09/27/ 21:52:04,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,37,1,134,105,100,0
2022/09/27/ 21:52:05,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,37,1,134,105,100,0
2022/09/27/ 21:52:06,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-62,-29,-23,0,38,1,134,105,100,0
2022/09/27/ 21:52:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,39,1,134,105,100,0
2022/09/27/ 21:52:07,PID=0403:6015 SER=D200BZVHA,:CCF957966B2C,-57,-29,-23,0,37,1,134,105,100,0
