Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/20/ 02:09:50,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,2,0,39,1,134,140,130,0
2022/09/20/ 02:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-598,-1,3,0,39,1,134,140,130,0
2022/09/20/ 02:09:51,+UUDF:CCF957966B2C,:CCF957966B2C,-61,-1,3,0,37,1,134,140,130,0
2022/09/20/ 02:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,3,0,39,1,134,140,130,0
2022/09/20/ 02:09:52,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-1,3,0,37,1,134,140,130,0
2022/09/20/ 02:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-1,3,0,38,1,134,140,130,0
2022/09/20/ 02:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,3,0,39,1,134,140,130,0
2022/09/20/ 02:09:53,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-1,3,0,37,1,134,140,130,0
2022/09/20/ 02:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-58,-1,3,0,39,1,134,140,130,0
2022/09/20/ 02:09:54,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-1,3,0,37,1,134,140,130,0
2022/09/20/ 02:09:55,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-4,-3,0,38,1,134,140,130,0
2022/09/20/ 02:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-4,-3,0,39,1,134,140,130,0
2022/09/20/ 02:09:56,+UUDF:CCF957966B2C,:CCF957966B2C,-56,-4,-3,0,37,1,134,140,130,0
2022/09/20/ 02:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-4,-3,0,38,1,134,140,130,0
2022/09/20/ 02:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-60,-4,-3,0,37,1,134,140,130,0
2022/09/20/ 02:09:57,+UUDF:CCF957966B2C,:CCF957966B2C,-55,-3,-3,0,38,1,134,140,130,0
2022/09/20/ 02:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-63,-4,-3,0,39,1,134,140,130,0
2022/09/20/ 02:09:58,+UUDF:CCF957966B2C,:CCF957966B2C,-57,-3,-3,0,37,1,134,140,130,0
2022/09/20/ 02:09:59,+UUDF:CCF957966B2C,:CCF957966B2C,-59,-4,-3,0,39,1,134,140,130,0
2022/09/20/ 02:10:00,+UUDF:CCF957966B2C,:CCF957966B2C,-57,1,-1,0,39,1,134,140,130,0
2022/09/20/ 02:10:00,+UUDF:CCF957966B2C,:CCF957966B2C,-60,1,-1,0,37,1,134,140,130,0
2022/09/20/ 02:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-55,1,-1,0,38,1,134,140,130,0
2022/09/20/ 02:10:01,+UUDF:CCF957966B2C,:CCF957966B2C,-60,1,-1,0,37,1,134,140,130,0
2022/09/20/ 02:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-55,1,-1,0,38,1,134,140,130,0
2022/09/20/ 02:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-57,1,-1,0,39,1,134,140,130,0
2022/09/20/ 02:10:02,+UUDF:CCF957966B2C,:CCF957966B2C,-56,1,-1,0,37,1,134,140,130,0
2022/09/20/ 02:10:03,+UUDF:CCF957966B2C,:CCF957966B2C,-59,1,-1,0,39,1,134,140,130,0
2022/09/20/ 02:10:04,+UUDF:CCF957966B2C,:CCF957966B2C,-55,3,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:04,+UUDF:CCF957966B2C,:CCF957966B2C,-57,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-61,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:05,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-57,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-61,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:06,+UUDF:CCF957966B2C,:CCF957966B2C,-55,3,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:07,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:07,+UUDF:CCF957966B2C,:CCF957966B2C,-61,3,0,0,338,1,134,140,130,0
2022/09/20/ 02:10:08,+UUDF:CCF957966B2C,:CCF957966B2C,-57,2,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:08,+UUDF:CCF957966B2C,:CCF957966B2C,-60,2,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:09,+UUDF:CCF957966B2C,:CCF957966B2C,-57,2,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:09,+UUDF:CCF957966B2C,:CCF957966B2C,-60,2,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:10,+UUDF:CCF957966B2C,:CCF957966B2C,-55,2,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:10,+UUDF:CCF957966B2C,:CCF957966B2C,-57,2,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:10,+UUDF:CCF957966B2C,:CCF957966B2C,-55,2,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:11,+UUDF:CCF957966B2C,:CCF957966B2C,-57,2,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:11,+UUDF:CCF957966B2C,:CCF957966B2C,-56,2,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:12,+UUDF:CCF957966B2C,:CCF957966B2C,-56,4,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:12,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:13,+UUDF:CCF957966B2C,:CCF957966B2C,-60,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:13,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:14,+UUDF:CCF957966B2C,:CCF957966B2C,-60,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:14,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:14,+UUDF:CCF957966B2C,:CCF957966B2C,-60,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:15,+UUDF:CCF957966B2C,:CCF957966B2C,-55,3,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:15,+UUDF:CCF957966B2C,:CCF957966B2C,-56,3,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:16,+UUDF:CCF957966B2C,:CCF957966B2C,-57,4,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:16,+UUDF:CCF957966B2C,:CCF957966B2C,-56,4,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:17,+UUDF:CCF957966B2C,:CCF957966B2C,-57,4,0,0,39,1,134,140,130,0
2022/09/20/ 02:10:17,+UUDF:CCF957966B2C,:CCF957966B2C,-60,4,0,0,37,1,134,140,130,0
2022/09/20/ 02:10:18,+UUDF:CCF957966B2C,:CCF957966B2C,-55,4,0,0,38,1,134,140,130,0
2022/09/20/ 02:10:18,+UUDF:CCF957966B2C,:CCF957966B2C,-58,4,0,0,37,1,134,140,130,0
