Hora,Antena,iden.Tag,RSSI_1,Ang.Azimuth,Ang.Elevacion,RSSI_2,Canal,"Linea de visi�n libre(si=1, no=0)","altura de la antena, respecto del nivel del suelo",Distancia entre antena con el tag en cm,Distancia entre el suelo con el tag en cm,Existe un error en la medici�n
2022/09/19/ 22:18:42,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:42,+UUDF:CCF957966B2C,:CCF957966B2C,-64,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:43,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:44,+UUDF:CCF957966B2C,:CCF957966B2C,-71,24,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:44,+UUDF:CCF957966B2C,:CCF957966B2C,-69,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:45,+UUDF:CCF957966B2C,:CCF957966B2C,-64,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:45,+UUDF:CCF957966B2C,:CCF957966B2C,-71,24,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:46,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:46,+UUDF:CCF957966B2C,:CCF957966B2C,-64,24,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:47,+UUDF:CCF957966B2C,:CCF957966B2C,-71,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:47,+UUDF:CCF957966B2C,:CCF957966B2C,-69,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:48,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:48,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:49,+UUDF:CCF957966B2C,:CCF957966B2C,-72,25,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:49,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-38,0,39,0,134,100,130,1
2022/09/19/ 22:18:50,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-38,0,37,0,134,100,130,1
2022/09/19/ 22:18:50,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:51,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-38,0,39,0,134,100,130,1
2022/09/19/ 22:18:51,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:52,+UUDF:CCF957966B2C,:CCF957966B2C,-64,25,-38,0,37,0,134,100,130,1
2022/09/19/ 22:18:53,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:53,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-38,0,39,0,134,100,130,1
2022/09/19/ 22:18:53,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-38,0,37,0,134,100,130,1
2022/09/19/ 22:18:54,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:54,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-38,0,39,0,134,100,130,1
2022/09/19/ 22:18:55,+UUDF:CCF957966B2C,:CCF957966B2C,-64,25,-38,0,37,0,134,100,130,1
2022/09/19/ 22:18:55,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-38,0,38,0,134,100,130,1
2022/09/19/ 22:18:56,+UUDF:CCF957966B2C,:CCF957966B2C,-68,25,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:57,+UUDF:CCF957966B2C,:CCF957966B2C,-64,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:57,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:57,+UUDF:CCF957966B2C,:CCF957966B2C,-69,25,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:58,+UUDF:CCF957966B2C,:CCF957966B2C,-64,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:18:58,+UUDF:CCF957966B2C,:CCF957966B2C,-72,25,-37,0,38,0,134,100,130,1
2022/09/19/ 22:18:59,+UUDF:CCF957966B2C,:CCF957966B2C,-69,25,-37,0,39,0,134,100,130,1
2022/09/19/ 22:18:59,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:19:00,+UUDF:CCF957966B2C,:CCF957966B2C,-71,24,-37,0,38,0,134,100,130,1
2022/09/19/ 22:19:01,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
2022/09/19/ 22:19:01,+UUDF:CCF957966B2C,:CCF957966B2C,-65,25,-37,0,37,0,134,100,130,1
2022/09/19/ 22:19:02,+UUDF:CCF957966B2C,:CCF957966B2C,-71,25,-37,0,38,0,134,100,130,1
2022/09/19/ 22:19:02,+UUDF:CCF957966B2C,:CCF957966B2C,-68,24,-37,0,39,0,134,100,130,1
