,hora,Id_tag,Id_Ant,RSSI,Ang_azimuth,Ang_elevacion,Canal,Altura_ant(cm),Distancia_entre_ant_tag(cm),Error_dato_medido,Distancia_entre_ant
0,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,13,-25,38,170,242,1,160
1,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-56,13,-25,39,170,242,1,160
2,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,13,-25,37,170,242,1,160
3,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-63,13,-25,38,170,242,1,160
4,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,13,-25,39,170,242,1,160
5,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-68,13,-25,37,170,242,1,160
6,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,13,-25,38,170,242,1,160
7,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,13,-25,39,170,242,1,160
8,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-69,13,-25,37,170,242,1,160
9,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,13,-25,38,170,242,1,160
10,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-57,13,-25,39,170,242,1,160
11,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
12,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,21,-33,38,170,242,1,160
13,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-33,39,170,242,1,160
14,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
15,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,21,-33,38,170,242,1,160
16,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-33,39,170,242,1,160
17,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
18,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-67,21,-33,38,170,242,1,160
19,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-33,39,170,242,1,160
20,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
21,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,21,-33,38,170,242,1,160
22,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-33,39,170,242,1,160
23,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
24,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,21,-33,38,170,242,1,160
25,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-32,39,170,242,1,160
26,2022/12/05/ 09:08:43,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-72,21,-33,37,170,242,1,160
27,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,21,-32,38,170,242,1,160
28,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-62,21,-32,39,170,242,1,160
29,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,21,-32,37,170,242,1,160
30,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-66,21,-32,38,170,242,1,160
31,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-61,21,-32,39,170,242,1,160
32,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-71,21,-32,37,170,242,1,160
33,2022/12/05/ 09:08:44,:CCF957966AC9,PID=0403:6015 SER=D200BZVHA,-65,21,-32,38,170,242,1,160
